;Latitude;Longitude;QAPF
1;"44ø31'30.0""";"138ø37'30.0""";monzo granite
2;"54ø12'10.0""";"119ø24'0.0""";monzo granite
3;"62ø36'0.0""";"155ø36'0.0""";syeno granite
4;"61ø35'0.0""";"146ø2'0.0""";monzo granite
5;"68ø55'0.0""";"164ø24'0.0""";monzo granite
6;"50ø42'0.0""";"113ø42'0.0""";monzo granite
7;"47ø30'0.0""";"136ø27'0.0""";monzo granite
8;"48ø14'0.0""";"137ø28'0.0""";quartz-rich granitoid
9;"50ø16'0.0""";"112ø59'0.0""";monzo granite
10;"51ø3'0.0""";"113ø33'0.0""";monzo granite
11;"50ø41'0.0""";"110ø44'0.0""";monzo granite
12;"61ø19'0.0""";"149ø14'0.0""";monzo granite
13;"46ø11'26.0""";"135ø51'32.0""";monzo granite
14;"52ø1'20.0""";"114ø21'20.0""";monzo granite
15;"69ø32'0.0""";"149ø32'0.0""";monzo granite
16;"52ø32'0.0""";"135ø12'0.0""";monzo granite
17;"54ø0'30.0""";"117ø48'20.0""";monzo granite
18;"69ø35'0.0""";"141ø34'0.0""";monzo granite
19;"65ø49'0.0""";"135ø20'0.0""";monzo granite
20;"52ø23'0.0""";"134ø38'0.0""";monzo granite
21;"63ø38'0.0""";"175ø38'0.0""";granodiorite
22;"61ø50'0.0""";"146ø39'0.0""";monzo granite
23;"50ø17'0.0""";"113ø25'0.0""";monzo granite
24;"46ø34'35.0""";"105ø21'25.0""";monzo granite
25;"52ø6'50.0""";"115ø58'50.0""";syeno granite
26;"65ø3'0.0""";"145ø40'0.0""";monzo granite
27;"61ø46'0.0""";"152ø35'0.0""";monzo granite
28;"44ø32'10.0""";"134ø14'35.0""";granodiorite
29;"62ø24'0.0""";"174ø25'0.0""";tonalite
30;"66ø20'0.0""";"137ø50'0.0""";granodiorite
31;"51ø17'0.0""";"113ø36'0.0""";monzo granite
32;"47ø55'0.0""";"105ø46'50.0""";monzo granite
33;"60ø30'0.0""";"142ø4'0.0""";monzo granite
34;"52ø25'0.0""";"134ø13'0.0""";monzo granite
35;"51ø26'0.0""";"108ø44'0.0""";monzo granite
36;"51ø49'0.0""";"111ø25'0.0""";monzo granite
37;"49ø5'0.0""";"137ø35'0.0""";monzo granite
38;"45ø37'30.0""";"135ø8'57.0""";monzo granite
39;"51ø7'0.0""";"112ø52'0.0""";monzo granite
40;"44ø27'35.0""";"136ø3'0.0""";monzo granite
41;"54ø20'0.0""";"117ø57'40.0""";monzo granite
42;"61ø17'0.0""";"149ø23'0.0""";monzo granite
43;"67ø50'0.0""";"178ø50'0.0""WW";monzo granite
44;"52ø28'0.0""";"140ø19'0.0""";monzo granite
45;"50ø12'0.0""";"112ø39'0.0""";monzo granite
46;"50ø56'0.0""";"113ø18'0.0""";granodiorite
47;"47ø27'48.0""";"138ø23'24.0""";monzo granite
48;"60ø27'0.0""";"146ø53'0.0""";granodiorite
49;"52ø6'50.0""";"115ø58'0.0""";monzo granite
50;"61ø19'0.0""";"149ø15'0.0""";monzo granite
51;"51ø5'0.0""";"113ø33'0.0""";monzo granite
52;"49ø49'0.0""";"139ø9'0.0""";syeno granite
53;"67ø57'0.0""";"177ø19'0.0""";monzo granite
54;"62ø45'0.0""";"158ø49'0.0""";monzo granite
55;"53ø35'30.0""";"118ø31'50.0""";monzo granite
56;"50ø23'0.0""";"111ø37'0.0""";monzo granite
57;"52ø37'0.0""";"133ø30'0.0""";monzo granite
58;"52ø28'0.0""";"140ø16'0.0""";monzo granite
59;"51ø45'30.0""";"107ø35'0.0""";monzo granite
60;"52ø30'30.0""";"114ø2'0.0""";monzo granite
61;"52ø36'30.0""";"115ø19'30.0""";monzo granite
62;"67ø13'0.0""";"179ø20'0.0""";monzo granite
63;"69ø55'0.0""";"140ø42'0.0""";monzo granite
64;"46ø16'0.0""";"135ø27'40.0""";monzo granite
65;"53ø53'40.0""";"115ø39'0.0""";monzo granite
66;"47ø14'20.0""";"137ø53'20.0""";monzo granite
67;"65ø42'0.0""";"178ø4'0.0""WW";granodiorite
68;"48ø49'0.0""";"105ø30'0.0""";monzo granite
69;"61ø55'0.0""";"156ø21'0.0""";monzo granite
70;"49ø30'0.0""";"113ø6'0.0""";monzo granite
71;"50ø44'40.0""";"105ø18'0.0""";monzo granite
72;"66ø34'0.0""";"171ø55'0.0""";monzo granite
73;"52ø11'40.0""";"110ø13'30.0""";monzo granite
74;"43ø53'35.0""";"135ø6'11.0""";monzo granite
75;"52ø29'0.0""";"139ø59'0.0""";monzo granite
76;"51ø5'0.0""";"113ø12'0.0""";monzo granite
77;"50ø35'0.0""";"109ø31'0.0""";monzo granite
78;"61ø27'0.0""";"155ø51'0.0""";monzo granite
79;"60ø42'0.0""";"152ø32'0.0""";monzo granite
80;"61ø40'0.0""";"155ø19'0.0""";monzo granite
81;"60ø46'0.0""";"153ø20'0.0""";monzo granite
82;"46ø0'5.0""";"135ø18'17.0""";syeno granite
83;"53ø52'0.0""";"136ø34'0.0""";granodiorite
84;"52ø23'15.0""";"114ø15'40.0""";syeno granite
85;"55ø8'0.0""";"128ø48'0.0""";monzo granite
86;"47ø27'0.0""";"138ø4'30.0""";monzo granite
87;"53ø19'30.0""";"112ø36'0.0""";monzo granite
88;"52ø6'50.0""";"115ø58'30.0""";monzo granite
89;"61ø21'0.0""";"146ø16'0.0""";monzo granite
90;"45ø32'49.0""";"134ø45'0.0""";granodiorite
91;"62ø25'0.0""";"156ø10'0.0""";monzo granite
92;"67ø21'0.0""";"175ø40'0.0""";syeno granite
93;"60ø12'0.0""";"151ø5'0.0""";monzo granite
94;"63ø16'0.0""";"152ø10'0.0""";monzo granite
95;"52ø6'50.0""";"115ø58'30.0""";monzo granite
96;"48ø34'0.0""";"138ø52'0.0""";monzo granite
97;"62ø19'0.0""";"155ø30'0.0""";monzo granite
98;"68ø2'0.0""";"137ø9'0.0""";monzo granite
99;"62ø39'0.0""";"155ø41'0.0""";syeno granite
100;"61ø41'0.0""";"151ø26'0.0""";monzo granite
