	areax																
SIO2 TIO2 AL2O3 FE2O3 FEO MNO MGO CAO NA2O K2O P2O5 CO2 F S BAO	                                                                                 																
BARK1	P	0	42.80	3.57	10.15	2.71	9.90	0.17	13.10	12.27	2.16	0.36	0.62	0.11	0.00	0.00	0.00
BARK2	P	0	75.20	0.35	12.27	0.63	1.89	0.06	0.27	0.81	3.05	5.00	0.06	0.10	0.25	0.01	0.04
HORNBLND	P	0	48.40	1.08	7.27	2.44	9.53	0.10	15.86	11.25	1.90	0.17	0.00	0.00	0.00	0.00	0.00
MC-14	V	0	50.22	2.08	15.14	3.64	8.27	0.17	7.18	10.07	1.93	0.33	0.25	0.00	0.00	0.00	0.00
MC-15	V	0	50.80	1.93	15.25	2.91	7.23	0.16	8.27	9.83	2.15	0.28	0.25	0.00	0.00	0.00	0.00
MC-16	V	0	49.50	2.10	15.38	4.51	6.99	0.17	7.23	10.44	2.10	0.39	0.28	0.00	0.00	0.00	0.00
MC-17	V	0	49.70	2.48	14.83	4.47	7.52	0.17	6.17	10.34	2.13	0.25	0.27	0.00	0.00	0.00	0.00
MC-18	V	0	49.90	2.31	14.65	5.69	6.88	0.16	6.57	10.25	2.15	0.26	0.26	0.00	0.00	0.00	0.00
MC-65	V	0	43.49	3.38	16.66	3.69	11.05	0.18	6.74	8.93	2.35	0.25	0.33	0.00	0.00	0.00	0.00
MC-66	V	0	48.72	2.19	15.11	1.79	9.50	0.17	8.70	10.69	1.85	0.28	0.23	0.00	0.00	0.00	0.00
MC-70	V	0	47.48	2.63	17.42	3.59	8.10	0.18	6.74	8.54	3.12	1.20	0.36	0.00	0.00	0.00	0.00
MC-69	V	0	45.54	2.85	17.61	3.56	8.25	0.17	6.42	10.82	2.74	0.70	0.34	0.00	0.00	0.00	0.00
MC-72	V	0	47.99	2.62	19.36	5.83	5.17	0.21	4.39	6.54	4.58	1.82	0.63	0.00	0.00	0.00	0.00
MC-73	V	0	50.25	2.12	19.03	4.53	5.50	0.22	3.11	5.98	5.30	2.20	1.14	0.00	0.00	0.00	0.00
MC-79	V	0	49.79	2.51	18.37	6.03	4.82	0.22	4.01	6.68	4.58	2.08	0.56	0.00	0.00	0.00	0.00
PICRBSLT	V	0	46.80	1.90	8.20	1.20	9.80	0.00	19.80	9.50	1.60	1.20	0.00	0.00	0.00	0.00	0.00
OLIVBSLT	V	0	47.70	3.20	15.20	2.30	8.70	0.00	9.70	8.90	2.70	1.60	0.00	0.00	0.00	0.00	0.00
TRACBSLT	V	0	51.10	2.80	17.60	2.80	6.80	0.00	4.80	6.90	4.00	3.20	0.00	0.00	0.00	0.00	0.00
TRACANDS	V	0	56.30	1.80	17.80	2.90	4.70	0.00	2.30	4.70	4.80	4.70	0.00	0.00	0.00	0.00	0.00
TRACHYTE	V	0	59.50	0.90	19.40	1.70	3.60	0.00	1.00	2.00	5.20	6.70	0.00	0.00	0.00	0.00	0.00
AEGAUGTR	V	0	61.50	0.30	18.30	2.60	2.80	0.00	0.20	1.50	7.00	5.80	0.00	0.00	0.00	0.00	0.00
NEPHSYNT	P	0	54.99	0.60	20.96	2.25	2.05	0.15	0.77	2.31	8.23	5.58	0.13	0.20	0.00	0.00	0.00
PHONOLIT	V	0	56.19	0.62	19.04	2.79	2.03	0.17	1.07	2.72	7.79	5.24	0.18	0.08	0.00	0.00	0.00
SYENITE	P	0	58.58	0.84	16.64	3.04	3.13	0.13	1.87	3.53	5.24	4.95	0.29	0.28	0.00	0.00	0.00
TRACHTY	V	0	61.21	0.70	16.96	2.99	2.29	0.15	0.93	2.34	5.47	4.98	0.21	0.09	0.00	0.00	0.00
GRANITE	P	0	71.30	0.31	14.32	1.21	1.64	0.05	0.71	1.84	3.68	4.07	0.12	0.05	0.00	0.00	0.00
RHYOLITE	V	0	72.82	0.28	13.27	1.48	1.11	0.06	0.39	1.14	3.55	4.30	0.07	0.08	0.00	0.00	0.00
ADAMETLE	P	0	68.65	0.54	14.55	1.23	2.70	0.08	1.14	2.68	3.47	4.00	0.19	0.09	0.00	0.00	0.00
GRANODIO	P	0	66.09	0.54	15.73	1.38	2.73	0.08	1.74	3.83	3.75	2.73	0.18	0.08	0.00	0.00	0.00
RHYODACI	V	0	65.55	0.60	15.04	2.13	2.03	0.09	2.09	3.62	3.67	3.00	0.25	0.21	0.00	0.00	0.00
DACITE	V	0	65.01	0.58	15.91	2.43	2.30	0.09	1.78	4.32	3.79	2.17	0.15	0.06	0.00	0.00	0.00
TONALITE	P	0	61.52	0.73	16.48	1.83	3.82	0.08	2.80	5.42	3.63	2.07	0.25	0.14	0.00	0.00	0.00
DIORITE	P	0	57.48	0.95	16.67	2.50	4.92	0.12	3.71	6.58	3.54	1.76	0.29	0.10	0.00	0.00	0.00
ANDESITE	V	0	57.94	0.87	17.02	3.27	4.04	0.14	3.33	6.79	3.48	1.62	0.21	0.05	0.00	0.00	0.00
MONZONIT	P	0	62.60	0.78	15.65	1.92	3.08	0.10	2.02	4.17	3.73	4.06	0.25	0.08	0.00	0.00	0.00
LATITE	V	0	61.25	0.81	16.01	3.28	2.07	0.09	2.22	4.34	3.71	3.87	0.33	0.19	0.00	0.00	0.00
TRNSANDS	V	0	58.15	1.08	16.70	3.26	3.21	0.16	2.57	4.96	4.35	3.21	0.41	0.08	0.00	0.00	0.00
MUGEARIT	V	0	50.52	2.09	16.71	4.88	5.86	0.26	3.20	6.14	4.73	2.46	0.75	0.15	0.00	0.00	0.00
TRNSBASL	V	0	49.21	2.40	16.63	3.69	6.18	0.16	5.17	7.90	3.96	2.55	0.59	0.10	0.00	0.00	0.00
HAWAIITE	V	0	47.48	3.23	15.74	4.94	7.36	0.19	5.58	7.91	3.97	1.53	0.74	0.04	0.00	0.00	0.00
