 SAMPLE	ROCK SUITE	V/P	SIO2 	TIO2 	AL2O3	FE2O3	FEO  	MNO  	MGO  	CAO  	NA2O 	K2O  	P2O5 	CO2  	F    	S    	BAO  	ANA.TOT.	OXD.RAT.	MG RATIO	AGP.COEF.	AB/AB+AN	DIFFER.INDEX	ALKALINITY	      	NORM TOTAL	MG/FE+MG	  QZ	  OR	  AB	  AN	  NP	  LC	  AC	 COR	  DI	  HY	  OL	  WO	  MG	  HM	  IL	  AP	  FL	  HA	  CC	  PY	  ZR	  CR	  SP	  PV	  RT	 THN	NACR	NAMT	KMTA	CAOR	  KP	
 BARK1   	BARKER-TAB-4-4-&-4-6	P	 42.7999992 	 3.56999993 	 10.1499996 	 2.71000004 	 9.89999962 	 0.170000002 	 13.1000004 	 12.2700005 	 2.16000009 	 0.360000014 	 0.620000005 	 0.109999999 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 97.9200058 	 0.00000000E+00 	 43.6630135 	 0.388374418 	 39.6511879 	 17.1274529 	METALUMINOUS	   	 97.9436493 	 0.194661990 	 0.00000000E+00 	 2.12728691 	 11.1275482 	 16.9360466 	 3.87261820 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 31.3678284 	 0.00000000E+00 	 20.0842781 	 0.00000000E+00 	 3.92907572 	 0.00000000E+00 	 6.78031874 	 1.46847618 	 0.00000000E+00 	 0.00000000E+00 	 0.250168145 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 BARK2   	BARKER-TAB-4-4-&-4-6	P	 75.1999969 	 0.349999994 	 12.2700005 	 0.629999995 	 1.88999999 	 5.99999987E-02 	 0.270000011 	 0.810000002 	 3.04999995 	 5.00000000 	 5.99999987E-02 	 0.100000001 	 0.250000000 	 9.99999978E-03 	 3.99999991E-02 	 99.9899902 	 0.00000000E+00 	 69.3280029 	 0.849774003 	 95.2208862 	 91.5893936 	PERALUMINOUS	   	 99.8608627 	 0.736004710 	 36.2373390 	 29.5456486 	 25.8064041 	 1.29521728 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 1.36602175 	 0.00000000E+00 	 3.13566685 	 0.00000000E+00 	 0.00000000E+00 	 0.913401365 	 0.00000000E+00 	 0.664737105 	 0.142110601 	 0.508184254 	 0.00000000E+00 	 0.227425590 	 1.87082887E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 HORNBLND	WINTER-TABLE-14-4   	P	 48.4000015 	 1.08000004 	 7.26999998 	 2.44000006 	 9.52999973 	 0.100000001 	 15.8599997 	 11.2500000 	 1.89999998 	 0.170000002 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.0000076 	 0.00000000E+00 	 39.4898605 	 0.455129355 	 59.8021584 	 17.0806732 	METALUMINOUS	   	 97.9894867 	 0.211092144 	 0.00000000E+00 	 1.00455213 	 16.0761204 	 10.8060541 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 36.1068878 	 8.79261875 	 19.6144485 	 0.00000000E+00 	 3.53761792 	 0.00000000E+00 	 2.05118895 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-14   	MORSE-APPENDIX-1A   	V	 50.2200012 	 2.07999992 	 15.1400003 	 3.64000010 	 8.27000046 	 0.170000002 	 7.17999983 	 10.0699997 	 1.92999995 	 0.330000013 	 0.250000000 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.2800064 	 0.00000000E+00 	 47.8410454 	 0.233240917 	 34.0191154 	 23.9046154 	METALUMINOUS	   	 99.2866974 	 0.278309017 	 5.62464905 	 1.95001292 	 16.3299541 	 31.6723328 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 13.4851961 	 20.4045601 	 0.00000000E+00 	 0.00000000E+00 	 5.27743053 	 0.00000000E+00 	 3.95043778 	 0.592127502 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-15   	MORSE-APPENDIX-1A   	V	 50.7999992 	 1.92999995 	 15.2500000 	 2.91000009 	 7.23000002 	 0.159999996 	 8.27000046 	 9.82999992 	 2.15000010 	 0.280000001 	 0.250000000 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.0600204 	 0.00000000E+00 	 44.0170097 	 0.251736701 	 36.8813972 	 24.2022572 	METALUMINOUS	   	 99.0659409 	 0.227792472 	 4.35629988 	 1.65455639 	 18.1914005 	 31.1326542 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 12.8663692 	 22.3879395 	 0.00000000E+00 	 0.00000000E+00 	 4.21904469 	 0.00000000E+00 	 3.66555047 	 0.592127502 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-16   	MORSE-APPENDIX-1A   	V	 49.5000000 	 2.09999990 	 15.3800001 	 4.51000023 	 6.98999977 	 0.170000002 	 7.23000002 	 10.4399996 	 2.09999990 	 0.389999986 	 0.280000001 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.0899963 	 0.00000000E+00 	 41.5378532 	 0.252001584 	 36.1473808 	 24.8049049 	METALUMINOUS	   	 99.0977478 	 0.201176867 	 4.73200130 	 2.30456066 	 17.7683430 	 31.3869286 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 14.8818455 	 16.8336620 	 0.00000000E+00 	 0.00000000E+00 	 6.53879452 	 0.00000000E+00 	 3.98842287 	 0.663182795 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-17   	MORSE-APPENDIX-1A   	V	 49.7000008 	 2.48000002 	 14.8299999 	 4.46999979 	 7.51999998 	 0.170000002 	 6.17000008 	 10.3400002 	 2.13000011 	 0.250000000 	 0.270000011 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.3299866 	 0.00000000E+00 	 45.5772743 	 0.254459113 	 37.4003258 	 26.5569782 	METALUMINOUS	   	 98.3378448 	 0.238889307 	 7.05751657 	 1.47728252 	 18.0221786 	 30.1650448 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 15.5985098 	 14.1868782 	 0.00000000E+00 	 0.00000000E+00 	 6.48079967 	 0.00000000E+00 	 4.71013784 	 0.639497697 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-18   	MORSE-APPENDIX-1A   	V	 49.9000015 	 2.30999994 	 14.6499996 	 5.69000006 	 6.88000011 	 0.159999996 	 6.57000017 	 10.2500000 	 2.15000010 	 0.259999990 	 0.259999990 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.0800095 	 0.00000000E+00 	 39.8664284 	 0.260569483 	 38.1003571 	 27.3236351 	METALUMINOUS	   	 99.0868835 	 0.170403391 	 7.59586096 	 1.53637362 	 18.1914005 	 29.5546074 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 15.6310596 	 13.3248920 	 0.00000000E+00 	 0.00000000E+00 	 8.24960899 	 0.00000000E+00 	 4.38726521 	 0.615812600 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-65   	MORSE-APPENDIX-1A   	V	 43.4900017 	 3.38000011 	 16.6599998 	 3.69000006 	 11.0500002 	 0.180000007 	 6.73999977 	 8.93000031 	 2.34999990 	 0.250000000 	 0.330000013 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 97.0500031 	 0.00000000E+00 	 55.8647461 	 0.248226345 	 36.7844772 	 21.3609066 	METALUMINOUS	   	 97.0610962 	 0.352293432 	 0.00000000E+00 	 1.47728252 	 19.8836231 	 34.1707611 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 6.52469254 	 13.9706392 	 8.48309994 	 0.00000000E+00 	 5.34992266 	 0.00000000E+00 	 6.41946220 	 0.781608284 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-66   	MORSE-APPENDIX-1A   	V	 48.7200012 	 2.19000006 	 15.1099997 	 1.78999996 	 9.50000000 	 0.170000002 	 8.69999981 	 10.6899996 	 1.85000002 	 0.280000001 	 0.230000004 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.2300034 	 0.00000000E+00 	 52.6859665 	 0.221415639 	 32.7810898 	 17.3973255 	METALUMINOUS	   	 99.2351837 	 0.307912260 	 8.97031501E-02 	 1.65455639 	 15.6530657 	 32.0972252 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 15.8032331 	 26.6380692 	 0.00000000E+00 	 0.00000000E+00 	 2.59521961 	 0.00000000E+00 	 4.15935516 	 0.544757307 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
