;Latitude;Longitude;time;area;0
5;"68ø55'0.0""";"164ø24'0.0""";K;4;2
21;"63ø38'0.0""";"175ø38'0.0""";K;4;0
29;"62ø24'0.0""";"174ø25'0.0""";K;4;1
53;"67ø57'0.0""";"177ø19'0.0""";K;4;2
62;"67ø13'0.0""";"179ø20'0.0""";K;4;2
72;"66ø34'0.0""";"171ø55'0.0""";K;4;2
92;"67ø21'0.0""";"175ø40'0.0""";K;4;2
102;"63ø35'0.0""";"175ø24'0.0""";K;4;1
107;"69ø58'0.0""";"171ø32'0.0""";K;4;2
115;"69ø44'0.0""";"171ø50'0.0""";K;4;2
130;"61ø50'0.0""";"161ø9'0.0""";K;4;2
156;"67ø59'0.0""";"177ø32'0.0""";K;4;0
187;"69ø43'0.0""";"176ø5'0.0""";K;4;2
231;"69ø58'0.0""";"171ø38'0.0""";K;4;2
266;"69ø44'0.0""";"171ø55'0.0""";K;4;2
273;"69ø25'0.0""";"176ø40'0.0""";K;4;3
323;"63ø58'0.0""";"163ø28'0.0""";K;4;2
331;"61ø42'0.0""";"165ø1'0.0""";K;4;0
338;"67ø56'0.0""";"178ø5'0.0""";K;4;2
352;"69ø46'0.0""";"171ø38'0.0""";K;4;2
361;"69ø3'0.0""";"174ø10'0.0""";Mz;4;2
368;"65ø28'0.0""";"161ø16'0.0""";K;4;2
371;"69ø2'0.0""";"174ø7'0.0""";K;4;2
372;"69ø56'0.0""";"171ø38'0.0""";K;4;2
377;"67ø59'18.0""";"177ø28'30.0""";K;4;2
392;"64ø17'0.0""";"172ø40'0.0""";K;4;1
427;"65ø34'24.0""";"179ø51'0.0""";K;4;2
429;"62ø5'0.0""";"164ø12'0.0""";K;4;1
446;"69ø48'0.0""";"171ø29'0.0""";K;4;2
453;"69ø16'0.0""";"171ø25'0.0""";K;4;2
503;"68ø6'0.0""";"178ø32'0.0""";K;4;2
537;"69ø24'0.0""";"176ø38'0.0""";K;4;2
538;"69ø22'0.0""";"165ø45'0.0""";K;4;2
539;"69ø57'0.0""";"171ø40'0.0""";K;4;2
562;"69ø46'0.0""";"171ø38'0.0""";K;4;0
573;"69ø44'0.0""";"171ø55'0.0""";K;4;2
582;"69ø36'0.0""";"170ø23'0.0""";K;4;0
586;"66ø27'0.0""";"175ø12'0.0""";K;4;3
599;"69ø57'0.0""";"171ø35'0.0""";K;4;2
624;"66ø40'6.0""";"179ø34'0.0""";K;4;2
647;"63ø21'15.0""";"165ø31'50.0""";K;4;2
648;"61ø32'0.0""";"161ø15'0.0""";K;4;2
650;"67ø59'24.0""";"177ø28'48.0""";K;4;0
664;"69ø22'0.0""";"176ø27'0.0""";K;4;2
687;"69ø46'0.0""";"175ø45'0.0""";Mz;4;0
711;"67ø54'0.0""";"178ø4'0.0""";K;4;2
712;"62ø27'0.0""";"174ø10'0.0""";K;4;1
760;"63ø52'30.0""";"167ø42'25.0""";K;4;0
774;"62ø13'0.0""";"174ø25'0.0""";K;4;1
782;"69ø25'0.0""";"176ø37'0.0""";K;4;2
797;"64ø20'32.0""";"168ø0'21.0""";K;4;2
800;"67ø27'0.0""";"170ø1'0.0""";K;4;2
806;"67ø35'0.0""";"169ø28'0.0""";K;4;0
808;"63ø39'0.0""";"175ø25'0.0""";K;4;1
811;"68ø39'0.0""";"170ø25'0.0""";K;4;0
821;"69ø38'0.0""";"163ø7'0.0""";K;4;0
831;"69ø4'0.0""";"174ø12'0.0""";K;4;2
833;"69ø53'0.0""";"171ø40'0.0""";K;4;0
838;"69ø12'0.0""";"175ø55'0.0""";K;4;2
840;"69ø5'0.0""";"168ø30'0.0""";K;4;2
852;"63ø40'47.0""";"165ø50'52.0""";K;4;2
866;"62ø35'0.0""";"174ø13'0.0""";K;4;1
867;"69ø52'0.0""";"171ø57'0.0""";K;4;2
891;"69ø4'0.0""";"174ø12'0.0""";K;4;0
909;"64ø58'0.0""";"178ø28'0.0""";K;4;0
916;"63ø35'45.0""";"167ø10'30.0""";K;4;3
918;"67ø56'0.0""";"178ø7'0.0""";K;4;0
919;"69ø22'0.0""";"176ø49'0.0""";K;4;2
929;"69ø22'0.0""";"176ø59'0.0""";K;4;2
942;"69ø48'0.0""";"171ø52'0.0""";K;4;2
950;"68ø23'0.0""";"179ø38'0.0""";K;4;2
957;"67ø57'0.0""";"177ø30'0.0""";K;4;0
958;"63ø28'0.0""";"176ø46'0.0""";K;4;1
963;"63ø36'0.0""";"164ø50'0.0""";K;4;2
975;"68ø2'0.0""";"177ø49'0.0""";K;4;0
977;"67ø55'0.0""";"178ø3'0.0""";K;4;2
979;"62ø39'0.0""";"175ø14'0.0""";K;4;2
984;"67ø47'0.0""";"177ø56'54.0""";K;4;0
991;"69ø3'0.0""";"174ø10'0.0""";K;4;2
1003;"67ø55'0.0""";"178ø6'0.0""";K;4;2
1070;"69ø1'0.0""";"174ø14'0.0""";K;4;0
1074;"61ø57'0.0""";"161ø25'0.0""";K;4;0
1076;"65ø29'0.0""";"161ø16'0.0""";K;4;2
1085;"69ø28'0.0""";"176ø40'0.0""";K;4;0
1086;"69ø25'0.0""";"176ø36'0.0""";K;4;2
1090;"65ø28'0.0""";"166ø17'0.0""";K;4;2
1091;"67ø55'0.0""";"178ø5'0.0""";K;4;2
1094;"65ø25'0.0""";"178ø51'12.0""";K;4;2
1097;"63ø56'55.0""";"167ø54'10.0""";K;4;0
1100;"69ø44'0.0""";"171ø55'0.0""";K;4;0
1118;"64ø58'0.0""";"165ø9'0.0""";K;4;0
1119;"63ø0'48.0""";"167ø30'7.0""";K;4;0
1126;"62ø26'30.0""";"173ø38'0.0""";K;4;0
1134;"65ø15'0.0""";"166ø31'0.0""";K;4;2
1136;"67ø58'0.0""";"178ø4'0.0""";K;4;2
1173;"69ø25'0.0""";"176ø39'0.0""";K;4;2
1179;"69ø58'0.0""";"171ø3'0.0""";K;4;0
1182;"63ø39'0.0""";"175ø40'0.0""";K;4;0
1185;"60ø30'41.0""";"165ø35'4.0""";K;4;2
1195;"69ø50'0.0""";"171ø55'0.0""";K;4;2
1237;"69ø3'0.0""";"174ø10'0.0""";K;4;0
1271;"69ø42'0.0""";"171ø26'0.0""";K;4;1
1318;"62ø8'0.0""";"173ø44'0.0""";K;4;0
1351;"65ø59'0.0""";"170ø14'0.0""";K;4;1
1409;"63ø17'0.0""";"175ø24'0.0""";K;4;0
1410;"67ø40'0.0""";"177ø54'12.0""";K;4;0
1430;"63ø16'30.0""";"174ø42'0.0""";K;4;0
1438;"69ø37'0.0""";"171ø20'0.0""";K;4;2
1441;"69ø7'0.0""";"178ø28'0.0""";K;4;1
1442;"62ø16'30.0""";"174ø6'0.0""";K;4;2
1448;"65ø29'48.0""";"178ø52'0.0""";K;4;2
1460;"69ø56'0.0""";"170ø50'0.0""";K;4;2
1474;"67ø56'0.0""";"178ø6'0.0""";K;4;1
1486;"69ø22'0.0""";"176ø58'0.0""";K;4;0
1488;"67ø59'12.0""";"177ø23'0.0""";K;4;0
1495;"69ø10'0.0""";"164ø20'0.0""";K;4;0
1496;"69ø42'0.0""";"164ø2'0.0""";K;4;2
1497;"70ø48'0.0""";"160ø40'0.0""";K;4;2
