;Latitude;Longitude;time;area;0
1;"44ø31'30.0""";"138ø37'30.0""";K;2;0
2;"54ø12'10.0""";"119ø24'0.0""";Tr;1;0
3;"62ø36'0.0""";"155ø36'0.0""";K;3;1
4;"61ø35'0.0""";"146ø2'0.0""";K;3;0
5;"68ø55'0.0""";"164ø24'0.0""";K;4;0
6;"50ø42'0.0""";"113ø42'0.0""";J;1;1
7;"47ø30'0.0""";"136ø27'0.0""";K;2;3
8;"48ø14'0.0""";"137ø28'0.0""";K;2;1
9;"50ø16'0.0""";"112ø59'0.0""";J;1;0
10;"51ø3'0.0""";"113ø33'0.0""";J;1;0
11;"50ø41'0.0""";"110ø44'0.0""";J;1;1
12;"61ø19'0.0""";"149ø14'0.0""";K;3;4
13;"46ø11'26.0""";"135ø51'32.0""";K;2;1
14;"52ø1'20.0""";"114ø21'20.0""";J;1;0
15;"69ø32'0.0""";"149ø32'0.0""";K;3;0
16;"52ø32'0.0""";"135ø12'0.0""";K;2;0
17;"54ø0'30.0""";"117ø48'20.0""";Tr;1;0
18;"69ø35'0.0""";"141ø34'0.0""";K;3;0
19;"65ø49'0.0""";"135ø20'0.0""";K;3;2
20;"52ø23'0.0""";"134ø38'0.0""";K;2;0
21;"63ø38'0.0""";"175ø38'0.0""";K;4;4
22;"61ø50'0.0""";"146ø39'0.0""";K;3;0
23;"50ø17'0.0""";"113ø25'0.0""";J;1;0
25;"52ø6'50.0""";"115ø58'50.0""";J;1;1
26;"65ø3'0.0""";"145ø40'0.0""";K;3;0
27;"61ø46'0.0""";"152ø35'0.0""";K;3;0
28;"44ø32'10.0""";"134ø14'35.0""";K;2;3
29;"62ø24'0.0""";"174ø25'0.0""";K;4;0
30;"66ø20'0.0""";"137ø50'0.0""";K;3;0
31;"51ø17'0.0""";"113ø36'0.0""";J;1;2
33;"60ø30'0.0""";"142ø4'0.0""";K;3;0
34;"52ø25'0.0""";"134ø13'0.0""";K;2;1
35;"51ø26'0.0""";"108ø44'0.0""";Tr-J;1;4
36;"51ø49'0.0""";"111ø25'0.0""";Tr-J;1;4
37;"49ø5'0.0""";"137ø35'0.0""";Pg;2;1
38;"45ø37'30.0""";"135ø8'57.0""";K;2;0
39;"51ø7'0.0""";"112ø52'0.0""";J;1;1
40;"44ø27'35.0""";"136ø3'0.0""";Pg;2;4
41;"54ø20'0.0""";"117ø57'40.0""";J;1;1
42;"61ø17'0.0""";"149ø23'0.0""";K;3;2
43;"67ø50'0.0""";"178ø50'0.0""WW";K;5;1
44;"52ø28'0.0""";"140ø19'0.0""";Pg;2;4
