;Latitude;Longitude;Fe_number;Mali;ASI;classificated;area;0
0;"44ø31'30.0""";"138ø37'30.0""";magnesian;calcic;peraluminous;magnesian/calcic/peraluminous;1;1
1;"54ø12'10.0""";"119ø24'0.0""";magnesian;calcic;peraluminous;magnesian/calcic/peraluminous;1;2
2;"62ø36'0.0""";"155ø36'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;1
3;"61ø35'0.0""";"146ø2'0.0""";magnesian;calcic;peralkaline;magnesian/calcic/peralkaline;1;2
4;"68ø55'0.0""";"164ø24'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;0
5;"50ø42'0.0""";"113ø42'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;1
6;"47ø30'0.0""";"136ø27'0.0""";magnesian;calcic;peraluminous;magnesian/calcic/peraluminous;1;1
7;"48ø14'0.0""";"137ø28'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;0
8;"50ø16'0.0""";"112ø59'0.0""";magnesian;calcic;peraluminous;magnesian/calcic/peraluminous;1;1
9;"51ø3'0.0""";"113ø33'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;2
10;"50ø41'0.0""";"110ø44'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;2
11;"61ø19'0.0""";"149ø14'0.0""";magnesian;calcic;metaluminous;magnesian/calcic/metaluminous;1;1
12;"46ø11'26.0""";"135ø51'32.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;2
13;"52ø1'20.0""";"114ø21'20.0""";magnesian;calc-alkalic;metaluminous;magnesian/calc-alkalic/metaluminous;1;2
14;"69ø32'0.0""";"149ø32'0.0""";magnesian;calcic;peraluminous;magnesian/calcic/peraluminous;1;1
15;"52ø32'0.0""";"135ø12'0.0""";ferroan;calcic;metaluminous;ferroan/calcic/metaluminous;1;1
16;"54ø0'30.0""";"117ø48'20.0""";ferroan;calc-alkalic;peraluminous;ferroan/calc-alkalic/peraluminous;1;2
17;"69ø35'0.0""";"141ø34'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;1
18;"65ø49'0.0""";"135ø20'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;1
19;"52ø23'0.0""";"134ø38'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;1
20;"63ø38'0.0""";"175ø38'0.0""";magnesian;calcic;peraluminous;magnesian/calcic/peraluminous;1;1
21;"61ø50'0.0""";"146ø39'0.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;1
22;"50ø17'0.0""";"113ø25'0.0""";ferroan;calc-alkalic;peraluminous;ferroan/calc-alkalic/peraluminous;1;2
23;"46ø34'35.0""";"105ø21'25.0""";ferroan;calcic;peraluminous;ferroan/calcic/peraluminous;1;1
24;"52ø6'50.0""";"115ø58'50.0""";ferroan;calc-alkalic;peraluminous;ferroan/calc-alkalic/peraluminous;1;2
