;Y_UTM;X_UTM;ZoneNumber;ZoneLetter;Latitude;Longitude;past_mer;Y;X;SiO2;TiO2;Al2O3;Fe2O3;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;l.i.;oth;sum;hs;type_granite;time;massif;sampler;others;sampler+year;area
2;-360380553,8;-307819604,5;1;W;"54°12'10.0""";"119°24'0.0""";;54,2027975;119,4000197;80,27292796;0,10034116;10,13445715;0,170579972;0,561910496;0,020068232;0,40136464;0,35119406;2,307846679;5,117399157;0,05017058;0,5017058;0,010034116;100;0,01;Granite leucocratic;Tr;;V.I.Zhigalova;;E.A.Ivanov,1969;1
6;-358207902,7;-117533520,9;1;W;"50°42'0.0""";"113°42'0.0""";;50,69993582;113,6999358;78,89963122;0,219276388;10,91398385;0,119605303;1,694408452;0,029901326;0,159473737;0,607993621;2,990132563;3,907106548;0,119605303;0,328914582;0,009967109;100;0,01;Bt granite porphyraceous medium-coarse-grained;J3;Sakhanay massif; O.S.Beloborod'ko;;N.N.Chaban,1966;1
9;-356171371;-90947683,09;1;W;"50°16'0.0""";"112°59'0.0""";;50,26674231;112,983409;79,05575088;0,080361627;11,27071823;0,38171773;1,446509292;0,020090407;0,652938222;0,331491713;2,511300854;3,917629332;0,070316424;0,251130085;0,010045203;100;0,01;Granite leucocratic fine-grained;J3;Ongotson stock;M.I.Romanova;;N.K.Dmitrochenko,1968;1
10;-354986535,7;-135476421,6;1;W;"51°3'0.0""";"113°33'0.0""";;51,05011689;113,5501169;78,24009556;0,099542106;11,94505276;0,179175791;0,746565797;0,019908421;0,079633685;0,408122636;2,767270555;4,678478997;0,029862632;0,79633685;0,009954211;100;0,01;Granite leucocratic fine-grained;J3;Kalangin massif;N.A.Ogneva;;E.V.Barabashev,1962;1
11;-339895023,3;-105352230;1;W;"50°41'0.0""";"110°44'0.0""";;50,68323784;110,7332378;78,28081372;0,149581173;10,99920223;0,418827284;1,31631432;0,029916235;0,159553251;0,578380535;3,121260471;4,427602712;0,039888313;0,468687675;0,009972078;100;0,01;Granite porphyraceous medium-coarse-grained;J3;Sakhanay massif;O.S.Beloborod'ko;;N.N.Chaban,1966;1
14;-352538371,7;-186878456,2;1;W;"52°1'20.0""";"114°21'20.0""";;52,02214063;114,355474;77,70808443;0,049780964;11,59896456;0,696933493;0,119474313;0,029868578;0,17921147;0,746714456;4,23138192;4,082039028;0,029868578;0,517722023;0,009956193;100;0,01;Granite porphyraceous;J2;Volokatuy stock;0.1.Shuster;;Yu.D.Penyagin,1964;1
17;-353058972,9;-289270017,5;1;W;"54°0'30.0""";"117°48'20.0""";;54,00827779;117,8055;77,66603605;0,099571841;12,12785024;0,438116101;1,473663248;0,029871552;0,199143682;0,398287364;3,425271333;4,002788012;0,009957184;0,119486209;0,009957184;100;0,01;Granite alkaline;Tr;;N.Aksel!rod;;Yu.V.Kazitsyn,1958;1
23;-358830100,9;-93377612,73;1;W;"50°17'0.0""";"113°25'0.0""";;50,28334858;113,4166819;78,13127258;0,090325171;11,54154958;0,150541951;1,053793657;0,02007226;0,200722601;0,401445203;3,211561622;4,716981132;0,07025291;0,401445203;0,01003613;100;0,01;Granite leucocratic porphyraceous coarse-grained;J3;;T.A.Alfer'eva;;E.A.Belyakov,1962;1
25;-361892704,1;-199916497,3;1;W;"52°6'50.0""";"115°58'50.0""";;52,11383478;115,9805014;77,76889244;0,089964014;11,8952419;0,989604158;0,799680128;0,019992003;0,069972011;0,259896042;1,879248301;5,537784886;0,029988005;0,649740104;0,009996002;100;0,01;Granite;J3;Zangan massif;D.M.~huster;;V.A.Ulanov,1961;1
31;-353665362,2;-147595178,5;1;W;"51°17'0.0""";"113°36'0.0""";;51,28336679;113,6000335;77,929374;0,180577849;11,11556982;0,250802568;1,364365971;0,020064205;0,230738363;0,601926164;3,912520064;3,812199037;0,020064205;0,55176565;0,010032103;100;0,01;Granite porphyraceous;J1-J2;;V.I.Nikitina;;P.I.Kovalev,1968;1
35;-323283884,1;-133461182,7;1;W;"51°26'0.0""";"108°44'0.0""";;51,43330911;108,7333091;77,36978647;0,049890241;13,04130912;0,748353622;0,508880463;0,029934145;0,11973658;0,329275594;3,791658352;3,891438835;0,019956097;0,089802435;0,009978048;100;0,01;Granite leucocratic;Tr-J;Upper-Balyagin massif;R.P.Kopnova;;A.K.Izvekov,1968;1
36;-336332433,2;-162744360,9;1;W;"51°49'0.0""";"111°25'0.0""";;51,81667245;111,4166725;77,56326898;0,120036011;11,24337301;0,740222067;1,510453136;0,010003001;0,500150045;0,050015005;3,801140342;4,351305392;0,020006002;0,080024007;0,010003001;100;0,01;Granite porphyraceous;Tr-J;Taidut massif;A.I.Fedorova;;V.I.Sizykh,1967;1
39;-350269752,2;-135952297,5;1;W;"51°7'0.0""";"112°52'0.0""";;51,11664562;112,8666456;77,71428571;0,090225564;13,64411028;0,19047619;1,213032581;0,010025063;0,120300752;0,621553885;2,4160401;3,729323308;0,020050125;0,220551378;0,010025063;100;0,01;Granite-porphyry leucocratic;J3;Olenguy massif;O.M.Shirokova;;E.V.Barabashev,1959;1
41;-349946881,6;-301456391,9;1;W;"54°20'0.0""";"117°57'40.0""";;54,33323346;117,9610112;77,05309207;0,069596341;12,69636111;0,536886061;1,322330483;0,009942334;0,08948101;0,169019686;3,817856433;4,096241798;0,029827003;0,099423345;0,009942334;100;0,01;Granite leucocratic alkaline;J3;;;;N.V.Kuzheleva,1959;1
