1- (44°31'30",138 37'30")|.Granite alaskitic|.K2|(V.N.Musin,1970). 
2- (54°12'10" ,119°24')|.Granite leucocratic|.Tr|.V.I.Zhigalova|(E.A.Ivanov,1969). 
3- (62°36',155°36')|.Granite leucocratic coarse-grained|.K2'|.Left-Omsukchan massif|.P.M.Bosek|(O.S.Gracheva,1948). 
4- (61°35',146°02')|.Granite leucocratic|.K1|.Buksandzhin massif|.A.Kh.Brovtman|(A.F.Mikhaylov,1948). 
5- (68°55',164°24')|.Granite-porphyry micropegmatitic|.K1 Attykveem massif|.L.G.Semenova|.0th. :S-0.16|(A|.I.Sadovsky|,1963). 
6- (50°42',113°42')|.Bt granite porphyraceous medium-coarse-grained|.J3|.Sakhanay massif O.S.Beloborod'ko|(N.N.Chaban,1966). 
7- (47°30' ,136°27.')|.Bt granite|.K2|.N.A.Krivitskaya|(A.A.Golovneva,1950). 
8- (48°14|~ ,137°28')|.Granite fine-grained|.K2|(V.A.Yarmolyuk,1949).  
9- (50°16',112°59')|.Granite leucocratic fine-grained|.J3|.Ongotson stock|.M.I.Romanova|(N.K.Dmitrochenko,1968). 
10- (51°03',113°33')|.Granite leucocratic fine-grained|.J3. ,Kalangin massif|.N.A.Ogneva|(E.V.Barabashev,1962). 
11- (50°41' ,110°44') |.Granite porphyraceous medium-coar~e-grained|.J3|.Sakhanay massif|.O.S.Beloborod'ko|(N.N.Chaban,1966).   
12- (61°19j,149°14')|.Bt granite leucocratic coarse-grained|.K1|.Butugychag massif|.K.A.Baklanova|(M|.S|.Venchugo_ya|,1937). 
13- (46°11'26"|~135°51'32")|.Gran~te-porphyry|.K2|(I.A.Gaev,1960). 
14- (52°01i20",114°21'20"j|.Granite porphyraceous|.J 2|.Volokatuy stock|.0.1.Shuster|(Yu.D.Penyagin,1964) ; 
15- . (69°32',149°32')|.Granodiorite|.K1|.Ulakhan-Sis massif|.A.I.Kalischuk|(G.S.Sonin,1976). 
16- (52°32' ,135°12')|.Granite|.K2|.Nipnin massif|(L.V.Eyrish,1963). 
17- (54°00'30" ,117°48'20")|.Grinite alkaline||~Tr|.A.N.Aksel!rod|(Yu.V.Kazitsin,1958). 
18- (69°35' ,141°34')|.Granite fine-grained|.K1|.Omchikandin massif|(L.A.Musalitin,1967). 
