;Y_UTM;X_UTM;ZoneNumber;ZoneLetter;Latitude;Longitude;past_mer;Y;X;SiO2;TiO2;Al2O3;Fe2O3;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;l.i.;oth;sum;hs;time;Fe-number;Mali;molmass_Al2O3;molmass_CaO;molmass_P2O5;molmass_Na2O;molmass_K2O;moles_Al2O3;moles_CaO;moles_P2O5;moles_Na2O;moles_K2O;ASI;classificated
1;311272,5661;4932929,762;54;T;"44°31'30.0""";"138°37'30.0""";;44,525;138,625;80,59850374;0,039900249;10,13466334;0,608478803;1,715710723;0,009975062;0,399002494;0,548628429;1,995012469;3,581047382;0,009975062;0,349127182;0,009975062;100;0,01;K2;magnesian;calcic;101,96;56,08;141,94;61,98;94,2;0,099398424;0,009782961;7,02766E-05;0,032188004;0,038015365;peraluminous;magnesian/calcic/peraluminous
2;656538,9258;6008743,056;50;U;"54°12'10.0""";"119°24'0.0""";;54,20277778;119,4;80,27292796;0,10034116;10,13445715;0,170579972;0,561910496;0,020068232;0,40136464;0,35119406;2,307846679;5,117399157;0,05017058;0,5017058;0,010034116;100;0,01;Tr;magnesian;calcic;101,96;56,08;141,94;61,98;94,2;0,099396402;0,006262376;0,000353463;0,037235345;0,054324832;peraluminous;magnesian/calcic/peraluminous
3;633468,9181;6943712,902;56;V;"62°36'0.0""";"155°36'0.0""";;62,6;155,6;79,88804478;0,049980008;9,886045582;0,159936026;1,729308277;0,019992003;0,119952019;0,139944022;0,74970012;6,147540984;0,009996002;1,019592163;0,079968013;100;0,3;K2;ferroan;calcic;101,96;56,08;141,94;61,98;94,2;0,096960039;0,002495435;7,04241E-05;0,012095839;0,06526052;peraluminous;ferroan/calcic/peraluminous
4;448679,8592;6828145,258;55;V;"61°35'0.0""";"146°2'0.0""";;61,58333333;146,0333333;79,10418115;0,039725891;9,573939815;1,142119376;0,744860463;0,099314728;0,446916278;0,66540868;3,684576423;4,220875956;0,009931473;0,258218294;0,009931473;100;0,01;K1;magnesian;calcic;101,96;56,08;141,94;61,98;94,2;0,093898978;0,011865347;6,99695E-05;0,059447829;0,0448076;peralkaline;magnesian/calcic/peralkaline
5;475912,9729;7645187,823;58;W;"68°55'0.0""";"164°24'0.0""";;68,91666667;164,4;78,70775348;0,079522863;10,17892644;0,636182903;2,584493042;0,039761431;0,049701789;1,242544732;1,510934394;3,061630219;0,009940358;1,739562624;0,159045726;100;0,28;K1;ferroan;calcic;101,96;56,08;141,94;61,98;94,2;0,099832547;0,022156646;7,00321E-05;0,024377773;0,032501382;peraluminous;ferroan/calcic/peraluminous
6;690663,1477;5619942,178;49;U;"50°42'0.0""";"113°42'0.0""";;50,7;113,7;78,89963122;0,219276388;10,91398385;0,119605303;1,694408452;0,029901326;0,159473737;0,607993621;2,990132563;3,907106548;0,119605303;0,328914582;0,009967109;100;0,01;J3;ferroan;calcic;101,96;56,08;141,94;61,98;94,2;0,107041819;0,010841541;0,000842647;0,048243507;0,041476715;peraluminous;ferroan/calcic/peraluminous
7;609203,4726;5261748,623;53;T;"47°30'0.0""";"136°27'0.0""";;47,5;136,45;78,72848473;0,039797035;11,53119093;0,994925878;0,427818128;0,059695553;0,179086658;0,368122575;3,531986867;3,522037608;0,009949259;0,596955527;0,009949259;100;0,01;K2;magnesian;calcic;101,96;56,08;141,94;61,98;94,2;0,113095243;0,00656424;7,00948E-05;0,056985913;0,037388934;peraluminous;magnesian/calcic/peraluminous
8;683164,6721;5345176,402;53;U;"48°14'0.0""";"137°28'0.0""";;48,23333333;137,4666667;79,05418916;0,129974005;11,65766847;1,24975005;0,849830034;0,049990002;0,179964007;1,149770046;1,699660068;3,069386123;0,289942012;0,609878024;0,009998;100;0,01;K2;ferroan;calcic;101,96;56,08;141,94;61,98;94,2;0,114335705;0,020502319;0,002042708;0,027422718;0,032583717;peraluminous;ferroan/calcic/peraluminous
9;641346,8015;5570162,307;49;U;"50°16'0.0""";"112°59'0.0""";;50,26666667;112,9833333;79,05575088;0,080361627;11,27071823;0,38171773;1,446509292;0,020090407;0,652938222;0,331491713;2,511300854;3,917629332;0,070316424;0,251130085;0,010045203;100;0,01;J3;magnesian;calcic;101,96;56,08;141,94;61,98;94,2;0,110540587;0,005911051;0,000495395;0,040517923;0,041588422;peraluminous;magnesian/calcic/peraluminous
10;678727,7687;5658479,083;49;U;"51°3'0.0""";"113°33'0.0""";;51,05;113,55;78,24009556;0,099542106;11,94505276;0,179175791;0,746565797;0,019908421;0,079633685;0,408122636;2,767270555;4,678478997;0,029862632;0,79633685;0,009954211;100;0,01;J3;ferroan;calcic;101,96;56,08;141,94;61,98;94,2;0,117154303;0,007277508;0,000210389;0,044647799;0,049665382;peraluminous;ferroan/calcic/peraluminous
