;Lat_deg;Lat_min;Lat_sec;Long_deg;Long_min;Long_sec;Latitude;Longitude;past_mer;type_granite;time;massif;sampler;others;sampler+year
1;44;31;30;138;37;30;"44ø31'30.0""";"138ø37'30.0""";;Granite leucogranitic;K;;;;V.N.Musin,1970
2;54;12;10;119;24;;"54ø12'10.0""";"119ø24'0.0""";;Granite leucocratic;Tr;;V.I.Zhigalova;;E.A.Ivanov,1969
3;62;36;;155;36;;"62ø36'0.0""";"155ø36'0.0""";;Granite leucocratic coarse-grained;K;Omsukchan massif;P.M.Bosek;;O.S.Gracheva,1948
4;61;35;;146;2;;"61ø35'0.0""";"146ø2'0.0""";;Granite leucocratic;K;Buksandzhin massif;A.Kh.Brovtman;;A.F.Mikhaylov,1948
5;68;55;;164;24;;"68ø55'0.0""";"164ø24'0.0""";;Granite-porphyry micropegmatitic;K;Attykveem massif;L.G.Semenova;0th.:S-0.16;A.I.Sadovsky,1963
6;50;42;;113;42;;"50ø42'0.0""";"113ø42'0.0""";;Bt granite porphyraceous medium-coarse-grained;J;Sakhanay massif; O.S.Beloborod'ko;;N.N.Chaban,1966
7;47;30;;136;27;;"47ø30'0.0""";"136ø27'0.0""";;Bt granite;K;;N.A.Krivitskaya;;A.A.Golovneva,1950
8;48;14;;137;28;;"48ø14'0.0""";"137ø28'0.0""";;Granite fine-grained;K;;;;V.A.Yarmolyuk,1949
9;50;16;;112;59;;"50ø16'0.0""";"112ø59'0.0""";;Granite leucocratic fine-grained;J;Ongotson stock;M.I.Romanova;;N.K.Dmitrochenko,1968
10;51;3;;113;33;;"51ø3'0.0""";"113ø33'0.0""";;Granite leucocratic fine-grained;J;Kalangin massif;N.A.Ogneva;;E.V.Barabashev,1962
11;50;41;;110;44;;"50ø41'0.0""";"110ø44'0.0""";;Granite porphyraceous medium-coarse-grained;J;Sakhanay massif;O.S.Beloborod'ko;;N.N.Chaban,1966
12;61;19;;149;14;;"61ø19'0.0""";"149ø14'0.0""";;Bt granite leucocratic coarse-grained;K;Butugychag massif;K.A.Baklanova;;M.S.Venchugova,1937
13;46;11;26;135;51;32;"46ø11'26.0""";"135ø51'32.0""";;Granite-porphyry;K;;;;I.A.Gaev,1960
14;52;1;20;114;21;20;"52ø1'20.0""";"114ø21'20.0""";;Granite porphyraceous;J;Volokatuy stock;0.1.Shuster;;Yu.D.Penyagin,1964
15;69;32;;149;32;;"69ø32'0.0""";"149ø32'0.0""";;Granodiorite;K;Ulakhan-Sis massif;A.I.Kalischuk;;G.S.Sonin,1976
16;52;32;;135;12;;"52ø32'0.0""";"135ø12'0.0""";;Granite;K;Nipnin massif;;;L.V.Eyrish,1963
17;54;0;30;117;48;20;"54ø0'30.0""";"117ø48'20.0""";;Granite alkaline;Tr;;N.Aksel!rod;;Yu.V.Kazitsyn,1958
18;69;35;;141;34;;"69ø35'0.0""";"141ø34'0.0""";;Granite fine-grained;K;Omchikandin massif;;;L.A.Musalitin,1967
19;65;49;;135;20;;"65ø49'0.0""";"135ø20'0.0""";;Aplite;K;Khatakchan massif;V.V.Tsabul;;Yu.G.Krezhevskikh,1964
20;52;23;;134;38;;"52ø23'0.0""";"134ø38'0.0""";;Granite fine-grained even-grained;K;;;;E.P.Khokhlov,1958
21;63;38;;175;38;;"63ø38'0.0""";"175ø38'0.0""";;Plagiogranite;K;;;Det.:H2o+-0.75;A.S.Bochkarev,1984
