;Latitude;Longitude;sum;uncert
1;"44°31'30.0""";"138°37'30.0""";100,22;1
2;"54°12'10.0""";"119°24'0.0""";99,65;2
3;"62°36'0.0""";"155°36'0.0""";100,03;1
4;"61°35'0.0""";"146°2'0.0""";100,67;2
5;"68°55'0.0""";"164°24'0.0""";100,6;2
6;"50°42'0.0""";"113°42'0.0""";100,32;1
7;"47°30'0.0""";"136°27'0.0""";100,49;1
8;"48°14'0.0""";"137°28'0.0""";100,01;1
9;"50°16'0.0""";"112°59'0.0""";99,54;2
10;"51°3'0.0""";"113°33'0.0""";100,45;1
11;"50°41'0.0""";"110°44'0.0""";100,27;1
12;"61°19'0.0""";"149°14'0.0""";99,82;1
13;"46°11'26.0""";"135°51'32.0""";99,89;1
14;"52°1'20.0""";"114°21'20.0""";100,43;1
15;"69°32'0.0""";"149°32'0.0""";99,53;2
16;"52°32'0.0""";"135°12'0.0""";100,24;1
17;"54°0'30.0""";"117°48'20.0""";100,41;1
18;"69°35'0.0""";"141°34'0.0""";100,5;2
19;"65°49'0.0""";"135°20'0.0""";100,14;1
20;"52°23'0.0""";"134°38'0.0""";99,54;2
21;"63°38'0.0""";"175°38'0.0""";100,52;2
22;"61°50'0.0""";"146°39'0.0""";99,71;2
23;"50°17'0.0""";"113°25'0.0""";99,63;2
24;"46°34'35.0""";"105°21'25.0""";100,01;1
25;"52°6'50.0""";"115°58'50.0""";100,03;1
26;"65°3'0.0""";"145°40'0.0""";100,22;1
27;"61°46'0.0""";"152°35'0.0""";100,87;3
28;"44°32'10.0""";"134°14'35.0""";100,3;1
29;"62°24'0.0""";"174°25'0.0""";99,66;2
30;"66°20'0.0""";"137°50'0.0""";100,29;1
31;"51°17'0.0""";"113°36'0.0""";99,67;2
32;"47°55'0.0""";"105°46'50.0""";99,9;1
33;"60°30'0.0""";"142°4'0.0""";100,06;1
34;"52°25'0.0""";"134°13'0.0""";100,17;1
35;"51°26'0.0""";"108°44'0.0""";100,21;1
36;"51°49'0.0""";"111°25'0.0""";99,96;1
37;"49°5'0.0""";"137°35'0.0""";99,83;1
38;"45°37'30.0""";"135°8'57.0""";99,12;3
39;"51°7'0.0""";"112°52'0.0""";99,74;2
40;"44°27'35.0""";"136°3'0.0""";100,41;1
41;"54°20'0.0""";"117°57'40.0""";100,57;2
42;"61°17'0.0""";"149°23'0.0""";100,12;1
43;"67°50'0.0""";"-178°50'0.0""";100,27;1
44;"52°28'0.0""";"140°19'0.0""";100,05;1
45;"50°12'0.0""";"112°39'0.0""";100,36;1
46;"50°56'0.0""";"113°18'0.0""";99,86;1
47;"47°27'48.0""";"138°23'24.0""";99,26;3
48;"60°27'0.0""";"146°53'0.0""";99,95;1
49;"52°6'50.0""";"115°58'0.0""";100,03;1
50;"61°19'0.0""";"149°15'0.0""";100,29;1
51;"51°5'0.0""";"113°33'0.0""";99,72;2
52;"49°49'0.0""";"139°9'0.0""";100,35;1
53;"67°57'0.0""";"177°19'0.0""";99,76;1
54;"62°45'0.0""";"158°49'0.0""";100,7;2
55;"53°35'30.0""";"118°31'50.0""";100,5;2
56;"50°23'0.0""";"111°37'0.0""";100,17;1
57;"52°37'0.0""";"133°30'0.0""";100,24;1
58;"52°28'0.0""";"140°16'0.0""";100,03;1
59;"51°45'30.0""";"107°35'0.0""";100,62;2
60;"52°30'30.0""";"114°2'0.0""";100,11;1
61;"52°36'30.0""";"115°19'30.0""";99,91;1
62;"67°13'0.0""";"179°20'0.0""";100,42;1
63;"69°55'0.0""";"140°42'0.0""";100,57;2
64;"46°16'0.0""";"135°27'40.0""";99,31;3
65;"53°53'40.0""";"115°39'0.0""";99,97;1
66;"47°14'20.0""";"137°53'20.0""";100,17;1
67;"65°42'0.0""";"-178°4'0.0""";100,11;1
68;"48°49'0.0""";"105°30'0.0""";99,64;2
69;"61°55'0.0""";"156°21'0.0""";100,91;3
70;"49°30'0.0""";"113°6'0.0""";99,54;2
71;"50°44'40.0""";"105°18'0.0""";99,92;1
